Year,SEX,AREA,OCCUPATION,Value
2017,'',West Bank,Craft and related trades workers,
2018,'',West Bank,Craft and related trades workers,
2019,'',West Bank,Craft and related trades workers,
2020,'',West Bank,Craft and related trades workers,
2021,'',West Bank,Craft and related trades workers,
2000,'',West Bank,"Plant and machine operators, and assemblers",
2001,'',West Bank,"Plant and machine operators, and assemblers",
2002,'',West Bank,"Plant and machine operators, and assemblers",
2003,'',West Bank,"Plant and machine operators, and assemblers",
2004,'',West Bank,"Plant and machine operators, and assemblers",
2005,'',West Bank,"Plant and machine operators, and assemblers",
2006,'',West Bank,"Plant and machine operators, and assemblers",
2007,'',West Bank,"Plant and machine operators, and assemblers",
2008,'',West Bank,"Plant and machine operators, and assemblers",
2009,'',West Bank,"Plant and machine operators, and assemblers",
2010,'',West Bank,"Plant and machine operators, and assemblers",
2011,'',West Bank,"Plant and machine operators, and assemblers",
2012,'',West Bank,"Plant and machine operators, and assemblers",
2013,'',West Bank,"Plant and machine operators, and assemblers",
2014,'',West Bank,"Plant and machine operators, and assemblers",
2015,'',West Bank,"Plant and machine operators, and assemblers",
2016,'',West Bank,"Plant and machine operators, and assemblers",
2017,'',West Bank,"Plant and machine operators, and assemblers",
2018,'',West Bank,"Plant and machine operators, and assemblers",
2019,'',West Bank,"Plant and machine operators, and assemblers",
2020,'',West Bank,"Plant and machine operators, and assemblers",
2021,'',West Bank,"Plant and machine operators, and assemblers",
2000,'',West Bank,Elementary occupations,
2001,'',West Bank,Elementary occupations,
2002,'',West Bank,Elementary occupations,
2003,'',West Bank,Elementary occupations,
2004,'',West Bank,Elementary occupations,
2005,'',West Bank,Elementary occupations,
2006,'',West Bank,Elementary occupations,
2007,'',West Bank,Elementary occupations,
2008,'',West Bank,Elementary occupations,
2009,'',West Bank,Elementary occupations,
2010,'',West Bank,Elementary occupations,
2011,'',West Bank,Elementary occupations,
2012,'',West Bank,Elementary occupations,
2013,'',West Bank,Elementary occupations,
2014,'',West Bank,Elementary occupations,
2015,'',West Bank,Elementary occupations,
2016,'',West Bank,Elementary occupations,
2017,'',West Bank,Elementary occupations,
2018,'',West Bank,Elementary occupations,
2019,'',West Bank,Elementary occupations,
2020,'',West Bank,Elementary occupations,
2021,'',West Bank,Elementary occupations,
2000,'',West Bank,"Legislators, senior officials and managers",
2001,'',West Bank,"Legislators, senior officials and managers",
2002,'',West Bank,"Legislators, senior officials and managers",
2003,'',West Bank,"Legislators, senior officials and managers",
2004,'',West Bank,"Legislators, senior officials and managers",
2005,'',West Bank,"Legislators, senior officials and managers",
2006,'',West Bank,"Legislators, senior officials and managers",
2007,'',West Bank,"Legislators, senior officials and managers",
2008,'',West Bank,"Legislators, senior officials and managers",
2009,'',West Bank,"Legislators, senior officials and managers",
2010,'',West Bank,"Legislators, senior officials and managers",
2011,'',West Bank,"Legislators, senior officials and managers",
2012,'',West Bank,"Legislators, senior officials and managers",
2013,'',West Bank,"Legislators, senior officials and managers",
2014,'',West Bank,"Legislators, senior officials and managers",
2015,'',West Bank,"Legislators, senior officials and managers",
2016,'',West Bank,"Legislators, senior officials and managers",
2017,'',West Bank,"Legislators, senior officials and managers",
2018,'',West Bank,"Legislators, senior officials and managers",
2019,'',West Bank,"Legislators, senior officials and managers",
2020,'',West Bank,"Legislators, senior officials and managers",
2021,'',West Bank,"Legislators, senior officials and managers",
2000,'',Gaza Strip,'',64.1
2001,'',Gaza Strip,'',54.4
2002,'',Gaza Strip,'',56.6
2003,'',Gaza Strip,'',55.7
2004,'',Gaza Strip,'',59.2
2005,'',Gaza Strip,'',62.3
2006,'',Gaza Strip,'',69.1
2007,'',Gaza Strip,'',65.1
2008,'',Gaza Strip,'',60.4
2009,'',Gaza Strip,'',62.7
2010,'',Gaza Strip,'',58.5
2011,'',Gaza Strip,'',61.8
2012,'',Gaza Strip,'',64.5
2013,'',Gaza Strip,'',63.5
2014,'',Gaza Strip,'',64.2
2015,'',Gaza Strip,'',62.3
2016,'',Gaza Strip,'',61.9
2017,'',Gaza Strip,'',59.5
2018,'',Gaza Strip,'',63.1
2019,'',Gaza Strip,'',61.4
2020,'',Gaza Strip,'',61.9
2021,'',Gaza Strip,'',60.6
2000,'',Gaza Strip,Technicians and associate professionals,
2001,'',Gaza Strip,Technicians and associate professionals,
2002,'',Gaza Strip,Technicians and associate professionals,
2003,'',Gaza Strip,Technicians and associate professionals,
2004,'',Gaza Strip,Technicians and associate professionals,
2005,'',Gaza Strip,Technicians and associate professionals,
2006,'',Gaza Strip,Technicians and associate professionals,
2007,'',Gaza Strip,Technicians and associate professionals,
2008,'',Gaza Strip,Technicians and associate professionals,
2009,'',Gaza Strip,Technicians and associate professionals,
2010,'',Gaza Strip,Technicians and associate professionals,
2011,'',Gaza Strip,Technicians and associate professionals,
2012,'',Gaza Strip,Technicians and associate professionals,
2013,'',Gaza Strip,Technicians and associate professionals,
2014,'',Gaza Strip,Technicians and associate professionals,
2015,'',Gaza Strip,Technicians and associate professionals,
2016,'',Gaza Strip,Technicians and associate professionals,
2017,'',Gaza Strip,Technicians and associate professionals,
2018,'',Gaza Strip,Technicians and associate professionals,
2019,'',Gaza Strip,Technicians and associate professionals,
2020,'',Gaza Strip,Technicians and associate professionals,
2021,'',Gaza Strip,Technicians and associate professionals,
2000,'',Gaza Strip,Service and sales workers,
2001,'',Gaza Strip,Service and sales workers,
2002,'',Gaza Strip,Service and sales workers,
2003,'',Gaza Strip,Service and sales workers,
2004,'',Gaza Strip,Service and sales workers,
2005,'',Gaza Strip,Service and sales workers,
2006,'',Gaza Strip,Service and sales workers,
2007,'',Gaza Strip,Service and sales workers,
2008,'',Gaza Strip,Service and sales workers,
2009,'',Gaza Strip,Service and sales workers,
2010,'',Gaza Strip,Service and sales workers,
2011,'',Gaza Strip,Service and sales workers,
2012,'',Gaza Strip,Service and sales workers,
2013,'',Gaza Strip,Service and sales workers,
2014,'',Gaza Strip,Service and sales workers,
2015,'',Gaza Strip,Service and sales workers,
2016,'',Gaza Strip,Service and sales workers,
2017,'',Gaza Strip,Service and sales workers,
2018,'',Gaza Strip,Service and sales workers,
2019,'',Gaza Strip,Service and sales workers,
2020,'',Gaza Strip,Service and sales workers,
2021,'',Gaza Strip,Service and sales workers,
2000,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2001,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2002,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2003,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2004,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2005,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2006,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2007,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2008,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2009,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2010,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2011,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2012,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2013,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2014,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2015,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2016,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2017,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2018,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2019,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2020,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2021,'',Gaza Strip,"Skilled agricultural, forestry and fishery workers",
2000,'',Gaza Strip,Craft and related trades workers,
2001,'',Gaza Strip,Craft and related trades workers,
2002,'',Gaza Strip,Craft and related trades workers,
2003,'',Gaza Strip,Craft and related trades workers,
2004,'',Gaza Strip,Craft and related trades workers,
2005,'',Gaza Strip,Craft and related trades workers,
2006,'',Gaza Strip,Craft and related trades workers,
2007,'',Gaza Strip,Craft and related trades workers,
2008,'',Gaza Strip,Craft and related trades workers,
2009,'',Gaza Strip,Craft and related trades workers,
2010,'',Gaza Strip,Craft and related trades workers,
2011,'',Gaza Strip,Craft and related trades workers,
2012,'',Gaza Strip,Craft and related trades workers,
2013,'',Gaza Strip,Craft and related trades workers,
2014,'',Gaza Strip,Craft and related trades workers,
2015,'',Gaza Strip,Craft and related trades workers,
2016,'',Gaza Strip,Craft and related trades workers,
2017,'',Gaza Strip,Craft and related trades workers,
2018,'',Gaza Strip,Craft and related trades workers,
2019,'',Gaza Strip,Craft and related trades workers,
2020,'',Gaza Strip,Craft and related trades workers,
2021,'',Gaza Strip,Craft and related trades workers,
2000,'',Gaza Strip,"Plant and machine operators, and assemblers",
2001,'',Gaza Strip,"Plant and machine operators, and assemblers",
2002,'',Gaza Strip,"Plant and machine operators, and assemblers",
2003,'',Gaza Strip,"Plant and machine operators, and assemblers",
2004,'',Gaza Strip,"Plant and machine operators, and assemblers",
2005,'',Gaza Strip,"Plant and machine operators, and assemblers",
2006,'',Gaza Strip,"Plant and machine operators, and assemblers",
2007,'',Gaza Strip,"Plant and machine operators, and assemblers",
2008,'',Gaza Strip,"Plant and machine operators, and assemblers",
2009,'',Gaza Strip,"Plant and machine operators, and assemblers",
2010,'',Gaza Strip,"Plant and machine operators, and assemblers",
2011,'',Gaza Strip,"Plant and machine operators, and assemblers",
2012,'',Gaza Strip,"Plant and machine operators, and assemblers",
2013,'',Gaza Strip,"Plant and machine operators, and assemblers",
2014,'',Gaza Strip,"Plant and machine operators, and assemblers",
2015,'',Gaza Strip,"Plant and machine operators, and assemblers",
2016,'',Gaza Strip,"Plant and machine operators, and assemblers",
2017,'',Gaza Strip,"Plant and machine operators, and assemblers",
2018,'',Gaza Strip,"Plant and machine operators, and assemblers",
2019,'',Gaza Strip,"Plant and machine operators, and assemblers",
2020,'',Gaza Strip,"Plant and machine operators, and assemblers",
2021,'',Gaza Strip,"Plant and machine operators, and assemblers",
2000,'',Gaza Strip,Elementary occupations,
2001,'',Gaza Strip,Elementary occupations,
2002,'',Gaza Strip,Elementary occupations,
2003,'',Gaza Strip,Elementary occupations,
2004,'',Gaza Strip,Elementary occupations,
2005,'',Gaza Strip,Elementary occupations,
2006,'',Gaza Strip,Elementary occupations,
2007,'',Gaza Strip,Elementary occupations,
2008,'',Gaza Strip,Elementary occupations,
2009,'',Gaza Strip,Elementary occupations,
2010,'',Gaza Strip,Elementary occupations,
2011,'',Gaza Strip,Elementary occupations,
2012,'',Gaza Strip,Elementary occupations,
2013,'',Gaza Strip,Elementary occupations,
2014,'',Gaza Strip,Elementary occupations,
2015,'',Gaza Strip,Elementary occupations,
2016,'',Gaza Strip,Elementary occupations,
2017,'',Gaza Strip,Elementary occupations,
2018,'',Gaza Strip,Elementary occupations,
2019,'',Gaza Strip,Elementary occupations,
2020,'',Gaza Strip,Elementary occupations,
2021,'',Gaza Strip,Elementary occupations,
2000,'',Gaza Strip,"Legislators, senior officials and managers",
2001,'',Gaza Strip,"Legislators, senior officials and managers",
2002,'',Gaza Strip,"Legislators, senior officials and managers",
2003,'',Gaza Strip,"Legislators, senior officials and managers",
2004,'',Gaza Strip,"Legislators, senior officials and managers",
2005,'',Gaza Strip,"Legislators, senior officials and managers",
2006,'',Gaza Strip,"Legislators, senior officials and managers",
2007,'',Gaza Strip,"Legislators, senior officials and managers",
2008,'',Gaza Strip,"Legislators, senior officials and managers",
2009,'',Gaza Strip,"Legislators, senior officials and managers",
2010,'',Gaza Strip,"Legislators, senior officials and managers",
2011,'',Gaza Strip,"Legislators, senior officials and managers",
2012,'',Gaza Strip,"Legislators, senior officials and managers",
2013,'',Gaza Strip,"Legislators, senior officials and managers",
2014,'',Gaza Strip,"Legislators, senior officials and managers",
2015,'',Gaza Strip,"Legislators, senior officials and managers",
2016,'',Gaza Strip,"Legislators, senior officials and managers",
2017,'',Gaza Strip,"Legislators, senior officials and managers",
2018,'',Gaza Strip,"Legislators, senior officials and managers",
2019,'',Gaza Strip,"Legislators, senior officials and managers",
2020,'',Gaza Strip,"Legislators, senior officials and managers",
2021,'',Gaza Strip,"Legislators, senior officials and managers",
2000,'',Palestine,'',76.6
2001,'',Palestine,'',71.9
2002,'',Palestine,'',72.6
2003,'',Palestine,'',72.2
2004,'',Palestine,'',73.8
2005,'',Palestine,'',77.0
2006,'',Palestine,'',81.5
2007,'',Palestine,'',81.9
2008,'',Palestine,'',87.6
2009,'',Palestine,'',91.1
2010,'',Palestine,'',91.8
2011,'',Palestine,'',91.7
2012,'',Palestine,'',92.9
2013,'',Palestine,'',97.2
2014,'',Palestine,'',101.8
2015,'',Palestine,'',103.7
2016,'',Palestine,'',109.0
2017,'',Palestine,'',113.7
2018,'',Palestine,'',123.0
2019,'',Palestine,'',128.6
2020,'',Palestine,'',132.7
2021,'',Palestine,'',136.5
2000,'',Palestine,Technicians and associate professionals,71.9
2001,'',Palestine,Technicians and associate professionals,72.2
2002,'',Palestine,Technicians and associate professionals,73.4
2003,'',Palestine,Technicians and associate professionals,74.8
2004,'',Palestine,Technicians and associate professionals,78.5
2005,'',Palestine,Technicians and associate professionals,82.5
2006,'',Palestine,Technicians and associate professionals,90.3
2007,'',Palestine,Technicians and associate professionals,88.4
2008,'',Palestine,Technicians and associate professionals,89.63
2009,'',Palestine,Technicians and associate professionals,94.54
2010,'',Palestine,Technicians and associate professionals,95.15
2011,'',Palestine,Technicians and associate professionals,98.21
2012,'',Palestine,Technicians and associate professionals,98.56
2013,'',Palestine,Technicians and associate professionals,98.2
2014,'',Palestine,Technicians and associate professionals,98.97
2015,'',Palestine,Technicians and associate professionals,102.66
2016,'',Palestine,Technicians and associate professionals,104.57
2017,'',Palestine,Technicians and associate professionals,107.71
2018,'',Palestine,Technicians and associate professionals,112.78
2019,'',Palestine,Technicians and associate professionals,116.03
2020,'',Palestine,Technicians and associate professionals,123.24
2021,'',Palestine,Technicians and associate professionals,89.11
2000,'',Palestine,Service and sales workers,57.9
2001,'',Palestine,Service and sales workers,54.4
2002,'',Palestine,Service and sales workers,54.6
2003,'',Palestine,Service and sales workers,55.0
2004,'',Palestine,Service and sales workers,54.8
2005,'',Palestine,Service and sales workers,59.5
2006,'',Palestine,Service and sales workers,66.9
2007,'',Palestine,Service and sales workers,66.1
2008,'',Palestine,Service and sales workers,70.72
2009,'',Palestine,Service and sales workers,68.97
2010,'',Palestine,Service and sales workers,71.88
2011,'',Palestine,Service and sales workers,68.73
2012,'',Palestine,Service and sales workers,67.3
2013,'',Palestine,Service and sales workers,69.59
2014,'',Palestine,Service and sales workers,69.55
2015,'',Palestine,Service and sales workers,69.06
2016,'',Palestine,Service and sales workers,71.23
2017,'',Palestine,Service and sales workers,74.65
2018,'',Palestine,Service and sales workers,79.2
2019,'',Palestine,Service and sales workers,82.54
2020,'',Palestine,Service and sales workers,84.37
2021,'',Palestine,Service and sales workers,117.27
2000,'',Palestine,"Skilled agricultural, forestry and fishery workers",68.1
2001,'',Palestine,"Skilled agricultural, forestry and fishery workers",55.0
2002,'',Palestine,"Skilled agricultural, forestry and fishery workers",58.5
2003,'',Palestine,"Skilled agricultural, forestry and fishery workers",45.3
2004,'',Palestine,"Skilled agricultural, forestry and fishery workers",48.0
2005,'',Palestine,"Skilled agricultural, forestry and fishery workers",50.1
2006,'',Palestine,"Skilled agricultural, forestry and fishery workers",50.8
2007,'',Palestine,"Skilled agricultural, forestry and fishery workers",54.7
2008,'',Palestine,"Skilled agricultural, forestry and fishery workers",54.54
2009,'',Palestine,"Skilled agricultural, forestry and fishery workers",65.17
2010,'',Palestine,"Skilled agricultural, forestry and fishery workers",64.2
2011,'',Palestine,"Skilled agricultural, forestry and fishery workers",68.7
2012,'',Palestine,"Skilled agricultural, forestry and fishery workers",70.4
2013,'',Palestine,"Skilled agricultural, forestry and fishery workers",99.88
2014,'',Palestine,"Skilled agricultural, forestry and fishery workers",82.36
2015,'',Palestine,"Skilled agricultural, forestry and fishery workers",116.24
2016,'',Palestine,"Skilled agricultural, forestry and fishery workers",99.06
2017,'',Palestine,"Skilled agricultural, forestry and fishery workers",92.87
2018,'',Palestine,"Skilled agricultural, forestry and fishery workers",81.47
2019,'',Palestine,"Skilled agricultural, forestry and fishery workers",110.22
2020,'',Palestine,"Skilled agricultural, forestry and fishery workers",96.7
2021,'',Palestine,"Skilled agricultural, forestry and fishery workers",138.11
2000,'',Palestine,Craft and related trades workers,89.8
2001,'',Palestine,Craft and related trades workers,82.4
2002,'',Palestine,Craft and related trades workers,85.1
2003,'',Palestine,Craft and related trades workers,83.5
2004,'',Palestine,Craft and related trades workers,80.4
2005,'',Palestine,Craft and related trades workers,87.5
2006,'',Palestine,Craft and related trades workers,91.7
2007,'',Palestine,Craft and related trades workers,90.3
2008,'',Palestine,Craft and related trades workers,103.19
2009,'',Palestine,Craft and related trades workers,103.2
2010,'',Palestine,Craft and related trades workers,105.59
2011,'',Palestine,Craft and related trades workers,104.75
2012,'',Palestine,Craft and related trades workers,111.25
2013,'',Palestine,Craft and related trades workers,130.49
2014,'',Palestine,Craft and related trades workers,141.95
2015,'',Palestine,Craft and related trades workers,144.27
2016,'',Palestine,Craft and related trades workers,156.63
2017,'',Palestine,Craft and related trades workers,167.9
2018,'',Palestine,Craft and related trades workers,182.24
2019,'',Palestine,Craft and related trades workers,187.7
2020,'',Palestine,Craft and related trades workers,190.91
2021,'',Palestine,Craft and related trades workers,157.04
2000,'',Palestine,"Plant and machine operators, and assemblers",77.4
2001,'',Palestine,"Plant and machine operators, and assemblers",70.7
2002,'',Palestine,"Plant and machine operators, and assemblers",72.4
2003,'',Palestine,"Plant and machine operators, and assemblers",70.4
2004,'',Palestine,"Plant and machine operators, and assemblers",74.5
2005,'',Palestine,"Plant and machine operators, and assemblers",78.2
2006,'',Palestine,"Plant and machine operators, and assemblers",77.8
2007,'',Palestine,"Plant and machine operators, and assemblers",75.4
2008,'',Palestine,"Plant and machine operators, and assemblers",82.97
2009,'',Palestine,"Plant and machine operators, and assemblers",88.51
2010,'',Palestine,"Plant and machine operators, and assemblers",91.96
2011,'',Palestine,"Plant and machine operators, and assemblers",94.74
2012,'',Palestine,"Plant and machine operators, and assemblers",85.18
2013,'',Palestine,"Plant and machine operators, and assemblers",85.78
2014,'',Palestine,"Plant and machine operators, and assemblers",85.99
2015,'',Palestine,"Plant and machine operators, and assemblers",82.61
2016,'',Palestine,"Plant and machine operators, and assemblers",86.91
2017,'',Palestine,"Plant and machine operators, and assemblers",94.76
2018,'',Palestine,"Plant and machine operators, and assemblers",102.11
2019,'',Palestine,"Plant and machine operators, and assemblers",108.39
2020,'',Palestine,"Plant and machine operators, and assemblers",114.92
2021,'',Palestine,"Plant and machine operators, and assemblers",165.34
2000,'',Palestine,Elementary occupations,76.1
2001,'',Palestine,Elementary occupations,70.4
2002,'',Palestine,Elementary occupations,66.3
2003,'',Palestine,Elementary occupations,62.3
2004,'',Palestine,Elementary occupations,64.7
2005,'',Palestine,Elementary occupations,66.7
2006,'',Palestine,Elementary occupations,68.8
2007,'',Palestine,Elementary occupations,73.3
2008,'',Palestine,Elementary occupations,79.96
2009,'',Palestine,Elementary occupations,84.68
2010,'',Palestine,Elementary occupations,82.58
2011,'',Palestine,Elementary occupations,81.34
2012,'',Palestine,Elementary occupations,80.53
2013,'',Palestine,Elementary occupations,81.7
2014,'',Palestine,Elementary occupations,90.9
2015,'',Palestine,Elementary occupations,93.01
2016,'',Palestine,Elementary occupations,98.16
2017,'',Palestine,Elementary occupations,101.49
2018,'',Palestine,Elementary occupations,114.66
2019,'',Palestine,Elementary occupations,126.73
2020,'',Palestine,Elementary occupations,127.59
2021,'',Palestine,Elementary occupations,173.8
2000,'',Palestine,"Legislators, senior officials and managers",119.4
2001,'',Palestine,"Legislators, senior officials and managers",112.4
2002,'',Palestine,"Legislators, senior officials and managers",126.7
2003,'',Palestine,"Legislators, senior officials and managers",127.3
2004,'',Palestine,"Legislators, senior officials and managers",134.7
2005,'',Palestine,"Legislators, senior officials and managers",132.5
2006,'',Palestine,"Legislators, senior officials and managers",134.1
2007,'',Palestine,"Legislators, senior officials and managers",140.1
2008,'',Palestine,"Legislators, senior officials and managers",149.01
2009,'',Palestine,"Legislators, senior officials and managers",150.07
2010,'',Palestine,"Legislators, senior officials and managers",157.3
2011,'',Palestine,"Legislators, senior officials and managers",157.71
2012,'',Palestine,"Legislators, senior officials and managers",160.12
2013,'',Palestine,"Legislators, senior officials and managers",158.07
2014,'',Palestine,"Legislators, senior officials and managers",179.2
2015,'',Palestine,"Legislators, senior officials and managers",176.56
2016,'',Palestine,"Legislators, senior officials and managers",177.7
2017,'',Palestine,"Legislators, senior officials and managers",181.45
2018,'',Palestine,"Legislators, senior officials and managers",185.95
2019,'',Palestine,"Legislators, senior officials and managers",186.31
2020,'',Palestine,"Legislators, senior officials and managers",178.29
2021,'',Palestine,"Legislators, senior officials and managers",76.71
